Timestamp,Are you actively looking for an internship? ,"Have you been to a job fair, if so, how many?",How did you find out about the job fair you attended? ,What is your major?,How old are you?,Have you had an internship before? 
3/8/2023 14:40,Yes,1,Friend,Letters and Sciences,21,No
3/8/2023 14:43,Yes,1,Email,Immersive Media Design,23,Yes
3/8/2023 14:43,Yes,3,Teacher,Graphic Design,23,Yes
3/8/2023 14:56,Yes,1,Email,Immersive Media Design and Studio Art,21,No
3/8/2023 14:56,Yes,1,Email,Immersive Media Design and Studio Art,21,Yes
3/8/2023 14:58,Yes,1,Teacher,Graphic Design,24,Yes
3/8/2023 14:58,Yes,0,Email,Journalism,19,No
3/8/2023 14:58,Yes,0,N/A,Graphic Design,20,No
3/8/2023 14:58,Yes,0,Teacher,Graphic Design,22,Yes
3/8/2023 14:58,Yes,2,Website,Information Science and Graphic Design,21,Yes
3/8/2023 14:59,Yes,1,Email,English and Studio Art,18,Yes
3/8/2023 14:59,Yes,1,Email,Studio Art,21,No
3/8/2023 15:01,No,1,Email,Graphic Design ,21,Yes
3/8/2023 15:06,Yes,0,Flyer,Studio Art,22,Yes
3/8/2023 15:15,Yes,2,Email,Immersive Media Design ,20,No
3/8/2023 15:15,Yes,3,Social Media,Computer Science ,22,Yes
3/8/2023 15:16,No,3,Email,Communication ,31,Yes
3/8/2023 15:23,Yes,1,Email,Immersive Media Design ,22,No
3/8/2023 15:23,Yes,2,Email,Immersive Media Design ,21,Yes
3/8/2023 15:23,Yes,2,Website,Immersive Media Design ,20,Yes
3/8/2023 15:24,Yes,4,Email,Information Science,21,No
3/29/2023 13:03,No,0,Email,Information Science,20,No
3/29/2023 13:04,No,0,N/A,Information Science ,23,No
3/29/2023 13:04,Yes,1,Email,Information Science,21,Yes
3/29/2023 13:07,No,0,N/A,Public Policy,23,Yes
3/29/2023 13:11,Yes,0,N/A,Public Policy,18,Yes
3/29/2023 13:18,Yes,1,Email,Public Policy ,20,No
3/29/2023 13:36,No,0,N/A,Information Science,21,No
3/29/2023 14:21,Yes,1,ELMS,Spanish and Arabic,20,Yes
3/29/2023 14:25,No,0,N/A,Public Policy,22,Yes
3/29/2023 14:27,Yes,0,N/A,Information Science,21,Yes
3/29/2023 14:35,Yes,2,Teacher,Government and Public Policy,20,Yes
3/29/2023 15:26,Yes,0,N/A,Information Science,21,No
3/29/2023 15:58,Yes,0,N/A,Government,20,Yes
3/29/2023 17:12,Yes,1,ELMS,Public Policy ,20,Yes
3/29/2023 18:27,Yes,0,Teacher,Public Policy,19,No
3/29/2023 18:29,Yes,0,N/A,Public Policy and Criminal Justice ,21,Yes
3/29/2023 20:14,Yes,0,N/A,Government,19,No
3/30/2023 14:12,Yes,1,Flyer,Information Science,20,Yes
3/30/2023 18:10,Yes,0,Email,Data Science ,20,No
3/31/2023 20:32,No,0,N/A,Information Science,32,Yes
4/2/2023 21:48,No,No,N/A,Information Science,24,No
